"Based on noiseRem,RT,Repeat Rem",,Cortx27,Cortx18,Cortx25,Cortx20,Cortx17,Cortx19,Cortx26,Cortx28,Cortx31,Cortx32,Cortx24,Cortx29,Cortx21,Cortx23,Cortx22,Cortx30,Cortx14,Cortx10,Cortx2,Cortx5,Cortx13,Cortx9,Cortx1,Cortx6,Cortx15,Cortx8,Cortx11,Cortx7,Cortx16,Cortx12,Cortx4,Cortx3,Hip25,Hip17,Hip28,Hip19,Hip18,Hip20,Hip27,Hip26,Hip30,Hip24,Hip23,Hip22,Hip32,Hip31,Hip21,Hip29,Hip13,Hip5,Hip10,Hip9,Hip1,Hip2,Hip6,Hip14,Hip8,Hip11,Hip3,Hip16,Hip4,Hip15,Hip12,Hip7,QCCortx 1,QCCortx 2,QCCortx 3,QCCortx 4,QCCortx 5,QC HIP1,QC HIP 2,QC HIP3,QC HIP 4,QC HIP 5,QC Mix 1,QC Mix 2,QC Mix 3,QC Mix 4,QC Mix 5
Accepted Compounds,Cleaned Names,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCI,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-FCS,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOI,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Cortx-NOS,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCI,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-FCS,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOI,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,Hip-NOS,QCCortx,QCCortx,QCCortx,QCCortx,QCCortx,QCHip,QCHip,QCHip,QCHip,QCHip,QCMix,QCMix,QCMix,QCMix,QCMix
27,PC(18:0/22:4),-0.141105084,-0.14748448,0.147595077,0.234188909,-0.040585759,0.164898205,-0.052768804,0.01265575,-0.100622294,0.399145271,0.195612905,0.403401497,-0.089405124,0.172884726,0.257664026,0.071598748,-0.210596762,0.267053453,-0.023593031,0.372252387,0.057481814,0.165123693,0.291757799,0.291087642,-0.085388231,-0.17614198,-0.255715448,0.011470767,0.257314392,0.248429117,0.426230829,0.091412149,-0.361041826,-0.268776248,-0.102741932,0.379834582,-0.046361641,-0.236065123,-0.030043246,-0.018231139,-0.449039044,-0.509728314,-0.386543861,-0.307235112,0.083237949,-0.117454718,0.406751875,0.114806542,-0.543362335,-0.989231484,-0.294268843,-0.161012574,-0.166440346,-0.209386578,0.117656679,-0.138803913,-0.554730406,-0.422959963,-0.369414012,-0.165043949,-0.285727112,-0.062339631,-0.168836355,-0.098109348,-0.194661546,0.417132808,0.370121757,0.326235546,0.214340137,-0.184782846,0.181732117,0.278188712,0.242067651,0.286601127,-0.012417189,0.302778962,0.324516005,0.313670608,0.279265423
28,HexCer(d18:1/22:0),-0.32300015,-0.00356903,-0.109945931,0.130760153,0.352572354,0.13164405,0.33728937,0.133323796,-0.208364877,-0.149569239,-0.1549108,-0.305253177,-0.096829183,0.145043421,0.048731927,0.333162025,0.288720867,-0.374919518,0.185671562,-0.279208634,0.130114219,-0.025604929,0.31595652,-0.536076265,-0.141507838,-0.29592615,-0.117108989,0.051083026,-0.170888831,0.134985986,0.151520529,0.286517701,0.049550245,0.082196874,-0.071749452,-1.197285634,0.399171425,0.511133879,-0.158481775,0.275684323,0.076437114,0.148615422,0.050341331,0.164591358,-0.112241101,0.088548121,-1.014659503,-0.063047634,-0.328772562,0.762156025,-0.078055041,0.128019753,0.742233263,0.669457073,0.072643772,0.260965533,0.092939677,0.02281632,0.456892259,0.393053393,0.795980276,0.094525359,0.527899242,0.001250806,-0.260611499,-0.397517916,-0.284086613,-0.126633762,-0.033653323,-0.161804427,-0.257589889,-0.37838082,-0.287632937,-0.273525766,-0.215795581,-0.27458828,-0.29741936,-0.232884041,-0.225099893
29,Cer(d18:1/24:1),0.703677813,0.425357314,0.020601073,0.488820646,0.535433827,0.116235179,0.059715402,0.028166629,0.564242265,0.288730821,0.360501655,0.347493646,0.725856903,0.189485167,0.51020069,-0.11876649,0.830824052,0.253463347,0.513492994,0.755768793,-0.0591803,0.288855769,-0.009988762,-0.105404036,0.403780874,-0.085589322,-0.02155112,0.453182528,0.367394806,-0.17622527,-0.158094607,-0.065005449,-0.248062461,-0.051436474,-0.420974041,-0.526894455,-0.456224823,-0.745423542,-0.751074554,-0.437379057,-0.051570614,-0.441093166,0.219971669,-0.334191653,-0.327174959,-0.378032325,-0.491462051,-0.095386944,0.274759184,0.138067903,-0.139457482,-0.3362962,0.106268633,-0.056934303,-0.395192269,-0.383169385,0.213470849,0.031560518,-0.009054289,-0.563069266,-0.528855129,-0.688150554,-0.288072298,-0.575312136,0.622953903,0.260418707,0.297670621,0.292240211,0.345275779,-0.204098828,-0.282852225,-0.387623522,-0.384516298,-0.438178926,0.111926729,0.034902845,-0.011668538,0.032461483,0.015456893
30,PE(22:4/22:6),-0.357022255,-0.092163773,-0.497766828,-0.184212461,-0.464724342,0.110093339,-0.014176899,-0.344484563,-0.228423523,0.027249833,0.075952175,-0.021448112,0.962125193,0.020217045,-0.110294682,0.11183718,-0.18801714,-0.381274145,-0.368154532,0.293541775,-0.392471049,-0.440768251,-0.052656756,-0.37003814,-0.303588781,-0.412810817,-0.420624078,-0.2348263,0.215217077,-0.500748028,0.129676917,0.030091454,0.253143768,0.231034774,0.003171073,-0.163189052,0.108256226,-0.213006131,0.078373493,0.019787882,0.197481274,0.040706776,0.185569336,0.281207474,0.148780383,0.324634544,-0.163539624,0.381866709,-0.080833763,0.073756694,0.052157258,-0.008012348,0.312209378,0.139880797,0.196588027,0.381541177,0.060848788,0.090691771,0.280679187,0.105270109,0.485080365,0.183568911,0.295944069,0.03525846,-0.157025865,-0.257383658,-0.12976794,-0.193339764,-0.153205425,0.098634445,0.242332578,0.243548779,0.215218392,0.318053959,-0.086016688,0.001477358,-0.024426587,-0.001851338,-0.030462563
31,Cer(d18:1/24:0(3OH)),0.013098864,0.170119977,0.184611154,-0.566737568,-0.406281687,0.467200737,0.638231753,0.161125887,0.079226845,0.304805083,0.359392023,0.115989981,-0.508538819,0.496324522,0.550702152,0.768964839,-0.411798803,0.065806383,0.491008294,0.183131814,0.492663849,0.250527368,0.702047374,0.445171686,0.185115662,0.006597838,0.123340895,0.314939276,0.515450862,0.44360427,-0.274318358,0.006260787,-0.619879423,0.444316847,0.192478573,0.481082503,-0.582702952,-0.510289254,0.115621283,0.428840528,-0.202592027,0.523431839,-0.129256853,-0.437158726,0.593525083,-0.240385723,0.15663569,0.240269408,0.046044583,-0.391899546,0.144080016,0.21089397,-0.838697461,-0.675050775,-0.299172363,-0.258033517,-0.093204605,0.305672815,-0.477687287,-0.2372138,-0.590065013,-0.731252401,-0.664177518,-0.448039237,-0.297206485,-0.188380956,-0.125681601,-0.006105149,0.079654308,0.078661432,-0.002851554,-0.156821019,-0.087090121,-0.114985773,-0.092872574,-0.327188146,-0.265340397,-0.180165894,-0.137545668
32,PC(18:1/22:0),0.31687672,0.190751074,0.027415515,-0.181748476,0.050390544,-0.220319927,0.252535588,0.256590419,0.447201451,0.16177316,0.231358933,-0.058589227,0.599169698,0.130808978,0.325201566,0.252117921,0.511638918,-0.323973684,0.347901466,0.057469594,0.229979824,-0.189096397,0.253829158,-0.890235066,0.317087601,0.515840737,0.034803719,-0.143362117,0.08246052,0.091187245,-0.436007733,-0.008079174,0.257928905,0.124769352,-0.053376267,-1.347900966,-0.004434946,0.073949392,-0.832436064,-0.177663249,-0.24021175,0.143963798,0.107375764,-0.383829009,-0.337488887,-0.687390598,-1.442053876,-0.041709046,0.28315568,0.343212577,0.241052089,0.100451655,0.238871747,0.183705528,-0.103230199,-0.2846202,0.388958734,0.205019708,0.109588593,0.022555382,0.344159507,-0.608527672,0.192436219,-0.231550028,0.225333015,0.172003816,0.187314573,0.119886672,0.121543287,-0.036889517,-0.071982628,-0.133891819,-0.207481195,-0.271982025,0.107876554,0.046305551,0.005661185,-0.046849063,-0.034558826
33,PE(22:6/22:6),0.361532301,0.084112095,0.149025512,-0.174456206,-0.048961444,-0.031823276,0.077781582,0.288656608,0.245011519,0.005918366,0.380256229,0.289831637,1.510351044,0.494071519,0.339043869,0.590814936,0.121191414,-0.148916371,0.305079292,0.359104721,0.121963971,0.041223258,0.404888061,0.085658874,-0.030094052,0.100506011,0.023228296,0.109128601,0.099198923,0.065274685,0.085112691,0.351032572,-0.110749233,-0.064177337,-0.444748515,-1.220456831,-0.433126239,-0.562897892,-0.720661946,-0.213465572,-0.31011767,-0.257125915,0.063718585,-0.45968256,0.022213809,-0.566823467,-0.557197826,-0.132871852,0.272623484,-0.530972212,-0.044528973,-0.395485939,-0.127348593,-0.074725816,-0.119359421,-0.27766792,-0.064082017,-0.024705767,-0.016318957,-0.170198763,0.334115763,-0.60095854,-0.070359255,-0.25252066,0.140612179,0.40877164,0.2503537,0.464655619,0.343556887,-0.244140744,-0.065652593,-0.028864437,-0.131075794,-0.125829853,-0.095079887,0.181063798,0.119026045,0.123697822,0.134822426
34,HexCer(d18:1/24:1),-0.022632614,0.239667348,0.200302213,-0.572787527,-0.472341645,0.500470092,0.617885317,0.162688753,-0.05343329,0.244230266,0.352550712,0.157805873,-0.591384913,0.544387309,0.501085961,0.730562011,-0.453641762,0.057268087,0.457018026,0.206187903,0.450757881,0.293212061,0.710833441,0.491246399,0.154162884,0.059207468,0.037804532,0.326014035,0.526992721,0.434924035,-0.288991977,-0.000828324,-0.664536919,0.543088429,0.23753964,0.467766713,-0.64956473,-0.497467484,0.076852467,0.485078723,-0.167550619,0.494108643,-0.197612009,-0.513819554,0.598678739,-0.251606875,0.275275502,0.245239014,0.110474735,-0.530438515,0.138176479,0.206825717,-0.848913494,-0.683458794,-0.301805577,-0.20341799,-0.041076634,0.262369214,-0.59111658,-0.344476618,-0.634156734,-0.665282702,-0.597652717,-0.317707838,-0.423371961,-0.204061306,-0.141588358,0.076624829,0.062359509,0.127041701,-0.001093105,-0.133817608,-0.039835305,-0.019689957,-0.027798427,-0.27352229,-0.23075077,-0.089284716,-0.122247145
35,PE(18:1/16:0),0.138123012,0.323100426,0.118801814,0.274113703,0.310152071,0.341019873,0.034285351,0.001479488,-0.33095445,-0.183806144,-0.052874255,-0.23477096,-0.156206307,-0.316258696,-0.512034907,-0.425870565,-0.034206907,0.604633229,-0.298398849,-0.210324391,0.339107703,0.272670406,-0.358139138,-0.251027961,0.423236958,0.365300153,0.15380059,0.226189605,0.153681079,-0.03388896,-0.376478534,-0.642448858,0.362230997,0.339716082,0.043310553,0.037995626,0.040374889,0.180800766,0.042620672,0.344973365,-0.047700883,-0.020262472,-0.00516169,-0.236380751,-0.159790991,-0.397090166,0.000202451,-0.401863851,0.250328967,-0.059817567,0.561810101,0.336179586,-0.135223481,-0.11885293,-0.1753726,0.324686556,0.339744793,0.537725416,-0.202142032,0.118551322,-0.102582921,0.164911539,-0.258572121,0.352281214,0.439709137,-0.118911098,-0.099146253,-0.093793737,-0.199480099,0.189236808,-0.099663931,-0.064826429,-0.219329062,-0.251645937,0.067875855,-0.215933983,-0.336679243,-0.497185513,-0.219862535
36,DG(22:6/18:1),0.122993526,0.248404928,0.361658777,0.100029836,0.238053077,0.449553769,-0.069458052,0.046837493,0.01012377,0.219234981,-0.10891011,0.004220121,0.581306789,0.132658779,-0.469202666,0.041458296,0.051877332,0.276846604,-0.065843227,-0.0300805,0.02996409,0.427808492,-0.248576933,0.051054281,0.151459297,0.651790946,0.547558929,0.254911342,0.004612293,-0.139666825,-0.143312279,-0.27911864,0.04422492,0.004381075,-0.087395965,-0.246771238,-0.141273336,0.055498721,-0.049483014,0.147077501,-0.090667688,-0.064390901,-0.377933866,-0.409192762,0.092258049,-0.275586228,-0.204848774,-0.229114815,0.097043044,-0.414733164,0.108303757,-0.10856773,-0.171964042,-0.262286799,-0.055722879,0.036663801,-0.021035728,0.122352027,-0.121377955,-0.214523932,-0.315661861,-0.192684487,0.042460958,0.146978689,-0.092416673,0.291393835,0.028659346,-0.13513723,0.168832971,-0.125902272,-0.061157667,0.027254095,-0.191755572,-0.236910948,0.104238172,-0.00406183,-0.111523738,-0.150366609,0.196580228
37,PC(18:1/22:1),0.215347113,0.039960531,-0.037535873,-0.202503998,0.028123293,-0.169231139,0.46251613,0.321835085,0.284041479,0.170998498,0.221654644,0.027501505,0.972902242,0.2335335,0.534303481,0.354571783,0.366233944,-0.158929329,0.314174471,0.148317087,0.288743721,-0.108940217,0.346979131,-0.809448768,0.156598749,0.350840961,-0.113045804,-0.187354839,0.130303029,0.198460065,-0.317228974,0.134828182,0.05556309,-0.09549013,-0.158312279,-1.4102357,0.047232856,0.138344011,-0.95200066,-0.056877089,-0.509776662,-0.109705349,-0.141427293,-0.62790228,-0.418958487,-0.839178208,-1.300368859,0.062852739,0.007626927,0.035332263,0.140346391,-0.007521216,-0.043490184,-0.033946734,-0.085798909,-0.234767475,0.166746924,-0.054185281,-0.091508011,-0.011928762,0.468391387,-0.652692047,0.321212225,-0.194706735,0.131123782,0.293793918,0.341884694,0.399955876,0.437375818,-0.046718658,-0.038115249,-0.027504363,0.020033401,0.048234546,0.137243971,0.119461031,0.15052891,0.217470676,0.203811503
38,LysoPE(18:1),-0.167796281,-0.071017094,-0.832695296,-0.06964091,-0.109575604,0.086981331,0.141953755,-0.618118107,0.090273277,-0.024220413,-0.117478041,-0.567541845,0.835276412,-0.184881471,0.075097843,0.116770302,-3.32351E-05,-0.389759292,0.114893957,-0.236431339,-0.031339948,-0.326383944,0.265823223,-0.808326197,-0.030168896,0.115269895,-0.300263278,-0.386110271,-0.274532209,-0.488788082,-0.334259634,-0.189305436,0.263543552,0.048832238,0.132646137,-0.399098091,0.419917174,0.651141925,0.044198061,0.138569034,0.141992749,0.389700138,0.077286612,0.101905391,-0.175972474,0.175557714,-0.769438677,0.147298149,-0.146988302,0.939610808,0.07262736,0.226572667,0.28497994,0.158361056,0.327951524,0.151799022,0.221325668,0.147201866,0.401192369,0.152793349,0.436483718,0.065310461,0.353908431,0.336796492,-0.11713043,-0.08042728,-0.271340772,-0.292337727,-0.348532449,0.154472098,0.025997854,0.204087675,0.099487823,0.117662057,-0.145081711,-0.09672914,-0.051282516,0.01210907,-0.012633787
39,7-alpha-hydroxy-4-cholesten-3-one-d7,-0.463795408,-0.336102428,-0.829925406,-0.91535919,-0.49069618,-0.045059719,-0.376752665,-0.548899458,-0.610266075,-0.259135352,-0.530566999,-0.36956121,-0.584306208,-0.484966715,-0.314694639,-0.742981182,-0.365275993,-0.570214527,-0.580939371,-0.427678029,-0.328708346,-1.13093141,-0.860605761,-0.530582511,-0.347311906,-0.580084832,-0.413512859,-1.120477078,-0.438582775,-0.814147187,-0.440975935,-0.377967085,0.318690005,0.250519054,0.477272849,0.613800031,0.322634372,0.307380861,0.517045119,0.176433429,0.467764176,0.377588126,0.469199358,0.363139619,0.424383825,0.576427713,0.444903286,0.528172222,0.470562764,0.459142829,0.441713681,0.530466585,1.33096688,0.828739927,0.422230559,0.555204246,0.3277348,0.27976115,0.68057596,0.361788975,0.4131894,0.614469463,0.93429508,0.299870239,-0.552993548,-0.416041435,-0.388550804,-0.413783646,-0.386479645,0.539117129,0.587771699,0.582960261,0.581014466,0.550041525,0.210654699,0.168077534,0.203546786,0.181622297,0.198040539
40,Cer(d18:1/20:0(3OH)),0.464730862,0.338971607,0.358723026,0.428323069,0.174147198,-0.152486235,0.089825778,0.300163813,0.553466757,0.371355385,0.479305021,0.624798369,-1.135242288,0.265035003,0.562274042,0.049287758,0.631941828,0.250857819,0.284932567,0.578182508,-0.01418904,0.198479019,-0.024433763,0.12013455,0.530967607,-0.154271987,0.024662178,-0.233832142,0.317176852,0.003364893,0.02598871,0.185211081,0.176966624,-0.12081419,-0.377345759,-0.814093813,-0.072233682,-0.599779644,-0.832797387,0.098133801,0.025993873,-0.302858484,0.206585744,-0.434187707,-0.255841256,-0.366070433,-0.29348129,0.071928143,0.221510365,-0.475366252,-0.357393828,-0.043137853,0.160849002,-0.111671953,-0.208971105,-0.482415964,0.291641662,-0.063492869,-0.250957001,-0.074561528,-0.333547064,-0.686291305,-0.042618751,-0.518476126,0.413527847,0.228784274,0.209796753,0.330709178,0.400874271,-0.162729722,-0.281465758,-0.427858133,-0.39671733,-0.235411312,0.151782885,0.010020157,-0.031312809,0.08340764,0.073536243
41,LysoPC(16:0),0.840978451,0.496272336,0.852699521,0.145402925,0.091118311,0.190117513,0.501902545,0.808308525,0.060157034,0.366792247,0.022453266,0.406648175,0.502954897,-0.128372756,0.161926156,-0.075893255,0.73795527,0.462349419,0.682839417,0.239602421,0.218834308,0.1302477,0.278462817,-0.031024401,0.362401655,0.100025618,0.17026518,0.275622534,0.397420713,0.406309203,-0.632935167,-0.310381305,0.017127894,-0.185820464,-0.042169943,-0.538936036,-0.017214855,-0.473371021,-0.472238116,0.062007822,-0.685413552,-0.860736575,-0.504351143,-0.592428973,-0.108057784,-0.830900719,-0.489458676,-0.332029226,0.133791914,-0.842236122,0.114540407,0.070024387,-0.222059887,3.64592E-05,-0.536747848,-0.392133003,0.130925751,-0.10796095,-0.691883772,-0.063688628,-0.580453415,-0.636018833,0.114907649,-0.34020534,0.19135213,0.431270641,0.348117348,0.374349264,0.473321001,-0.287671683,-0.224219575,-0.17906856,-0.116944069,-0.241245119,0.009183825,0.172340252,0.038587928,0.050868955,0.131448989
42,DG(O-16:0/18:1),0.657497576,0.293891081,0.100755593,-0.013896303,0.221353854,-0.340115392,0.476179602,0.218715446,0.540384827,0.142070925,0.208210923,-0.051235351,1.083098281,0.113136948,0.538496285,0.161855445,0.536770935,-0.248442994,0.292556301,0.040462653,0.215854016,-0.23723018,0.211187427,-1.053003919,0.382767984,0.614647277,0.096685746,-0.334782957,0.065195664,0.167798314,-0.475681635,-0.12013956,0.242707806,0.152859798,-0.289381294,-1.581304285,0.149263867,0.241751828,-0.778604268,0.057949909,-0.372998885,0.037735121,0.217293389,-0.505689407,-0.524974251,-0.878999011,-1.342289848,-0.147635415,0.51272221,0.198316795,0.245041543,0.125260551,-0.130895911,-0.016512518,-0.281019857,-0.266673554,0.585568765,0.375358622,-0.053857281,0.010156295,0.421992606,-0.568681318,0.29873187,-0.376364716,0.538245304,-0.034748901,0.083710648,0.20521675,0.272958745,-0.016228314,-0.25868356,-0.377858844,-0.285703416,-0.23027634,0.144001095,-0.067561987,-0.097487757,-0.096296213,-0.041161179
43,LysoPC(22:6),0.686499766,0.202439492,0.257400192,-0.254761137,0.08737497,0.065175412,0.363601921,0.468189505,0.339353728,-0.061633819,-0.026433964,0.406253019,1.475706053,0.11097826,0.375256638,0.047448839,0.216714691,0.239523422,0.920829889,0.493522656,0.17780782,0.070707832,0.377619508,0.070100756,-0.07430925,0.248668951,-0.082133586,0.345852707,0.070484514,0.267076621,-0.312351426,0.062501754,-0.156940229,-0.080159437,-0.210156765,-0.772541248,-0.18223448,-0.283955081,-0.666000535,-0.048580267,-0.473243768,-0.740828166,-0.271573458,-0.600547115,0.032644502,-0.726937094,-0.464514195,-0.075556763,0.324382225,-0.702128045,0.120546256,-0.100351594,-0.388367963,-0.310205633,-0.335214653,-0.238643037,0.032312662,-0.03714742,-0.555017673,-0.216484195,-0.370617528,-0.639959362,-0.046291349,-0.280956107,0.223045167,0.37421785,0.424467672,0.405884921,0.483068475,-0.211642154,-0.136228257,-0.126994377,-0.138958719,-0.167115675,0.171145664,0.119953969,0.152326497,0.103968158,0.152662589
44,PG(18:4/14:1),-0.871744676,-0.859004312,-1.064967633,-0.751514357,-0.582738968,-0.31054731,-0.901794536,-1.042450304,-0.798381781,-0.741851359,-0.882447506,-0.834113712,-0.790775809,-0.836529164,-0.799295442,-0.807336157,-0.87980173,-0.047565994,-0.23834123,-0.298708982,-0.778537804,-0.172675517,-0.634679546,-0.077228009,-0.879497088,0.014001736,0.005191612,-0.222637097,-0.910657891,-0.222114522,-0.144726172,0.075532558,0.331969959,0.428423084,0.651856295,0.845421591,0.535374196,0.602724711,0.789750098,0.410402523,0.657359563,0.423035811,0.371247506,0.447114771,0.436967406,0.768516015,0.633043667,0.591999329,0.373010595,0.646032737,0.508681827,0.28326741,0.126540522,0.760890386,0.468036017,0.574809165,0.427169076,0.365954133,0.62476749,0.284106207,0.540382761,0.717072528,0.128727656,0.56791647,-0.524619867,-0.417147919,-0.362052942,-0.413988496,-0.398667746,0.51957402,0.595014566,0.570856297,0.556812665,0.545456794,0.205289411,0.274799575,0.25166186,0.298734918,0.263644062
45,DG(20:5/22:3),-0.038416783,-0.097644095,0.472680268,-0.444709176,-0.520195111,-0.102350846,-0.101481296,-0.13735311,0.135721837,-0.039250954,0.501194599,0.004282496,0.55419515,0.310601261,-0.419645982,0.077935078,-0.187506237,0.139655202,-0.202068287,0.232953332,-0.372522277,-0.149313525,-0.270272505,0.069097697,0.309601724,0.104828741,0.129706517,-0.009176346,0.097876781,0.042958029,0.208306883,0.036977398,0.383584736,0.238770649,0.255036192,-0.196385534,-0.280099768,-0.82260036,-0.613208279,0.048724691,-0.261956432,0.058514846,0.188823781,0.093616062,0.088921414,-0.098072972,0.166551759,0.031538512,0.137897617,-0.533161732,0.191550546,0.091590834,0.05553459,0.062534559,-0.20245845,-0.282307188,0.197306596,0.269315368,0.344500328,-0.090908842,0.414022177,-0.180394371,0.169599463,0.014498334,-0.115298208,0.065499738,-0.074082116,-0.100666354,0.045489194,-0.118359372,0.033465503,0.092465774,-0.030105947,-0.092752056,-0.002124425,-0.067093025,0.118522738,-0.191221174,0.158714141
46,LysoPC(20:4),0.657584043,0.112633116,0.423289962,-0.293192631,-0.061753108,-0.140882758,0.257111362,0.469448137,0.350460782,0.01598587,0.101039123,0.610886859,-0.158293631,-0.096035077,0.31055603,-0.207291343,0.285393353,0.414246699,0.577550924,0.414022836,-0.040545911,-0.036783837,0.211763243,-0.011999775,0.284231774,0.092340009,-0.121006627,0.145620743,0.162929222,0.268209913,-0.348780069,-0.038939685,0.014460487,0.072916479,-0.008197536,-0.591988016,-0.025189615,-0.645130779,-0.76873358,0.212387135,-0.445564635,-0.825729844,-0.101775274,-0.44934303,0.089254479,-0.839448069,-0.193456755,0.025673063,0.483696332,-0.753153519,0.30272681,0.156670434,-0.248375343,-0.168057322,-0.301060988,-0.286787004,0.195233477,0.166725652,-0.455751071,-0.040303212,-0.383853096,-0.609339196,0.098987486,-0.239015487,0.085920585,0.290438509,0.29025148,0.283760198,0.420913205,-0.040394925,0.034076584,-0.018825432,-0.057443651,0.065585067,0.251697348,0.099611287,0.085939657,0.046213777,0.113978298
